"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","403","Requisição do POST Users","","Sun Apr 20 15:27:46 BRT 2025","passed","Sun Apr 20 15:27:47 BRT 2025","","POST users Reqres.in","",""
"","644","Deve retornar 404 ao buscar um usuário que não existe","","Sun Apr 20 15:27:44 BRT 2025","passed","Sun Apr 20 15:27:44 BRT 2025","","GET users Reqres.in","",""
"","400","Deve retornar erro 400 para body inválido","","Sun Apr 20 15:27:47 BRT 2025","passed","Sun Apr 20 15:27:47 BRT 2025","","POST users Reqres.in","",""
"","143","Requisição e validação do GET Users","","Sun Apr 20 15:27:43 BRT 2025","passed","Sun Apr 20 15:27:44 BRT 2025","","GET users Reqres.in","",""
